word,colour,congruent,corrAns,n,Target.started_mean,Target.started_raw,,,,,Target.started_std,Target.stopped_raw,,,,,image.started_mean,image.started_raw,,,,,image.started_std,image.stopped_raw,,,,,response.corr_mean,response.corr_raw,,,,,response.corr_std,response.keys_raw,,,,,response.rt_mean,response.rt_raw,,,,,response.rt_std,response.started_mean,response.started_raw,,,,,response.started_std,response.stopped_raw,,,,,order,,,,
red,red,1,left,5.0,78.8749755859375,38.929359436035156, 67.98123931884766, 76.26455688476562, 91.18305969238281, 120.01664733886719,29.85492469528612,, , , , ,79.351318359375,39.36134719848633, 68.58079528808594, 76.63196563720703, 91.56597900390625, 120.61650085449219,29.894021396099536,, , , , ,0.2,0.0, 0.0, 0.0, 0.0, 1.0,0.447213595499958,'down', 'down', 'down', 'down', 'left',0.41418895721435545,0.37872904539108276, 0.5213302969932556, 0.29346591234207153, 0.30630332231521606, 0.5711163282394409,0.12607164192811438,78.8749755859375,38.929359436035156, 67.98123931884766, 76.26455688476562, 91.18305969238281, 120.01664733886719,29.85492469528612,, , , , ,5.0, 19.0, 23.0, 31.0, 44.0
red,blue,0,right,5.0,81.1986328125,40.82964324951172, 60.06447982788086, 85.63143920898438, 106.63320922851562, 112.83442687988281,30.59288584376541,, , , , ,81.69507446289063,41.24604034423828, 60.479736328125, 85.96525573730469, 107.03311920166016, 113.751220703125,30.716699059224602,, , , , ,0.8,1.0, 0.0, 1.0, 1.0, 1.0,0.44721359549995804,'right', 'down', 'right', 'right', 'right',0.46529035568237304,0.39764899015426636, 0.3586063086986542, 0.31732040643692017, 0.3813190758228302, 0.8715568780899048,0.22910456628000256,81.1986328125,40.82964324951172, 60.06447982788086, 85.63143920898438, 106.63320922851562, 112.83442687988281,30.59288584376541,, , , , ,6.0, 15.0, 28.0, 38.0, 41.0
red,green,0,down,5.0,79.7180908203125,42.74483871459961, 65.9638671875, 70.0316162109375, 104.61561584472656, 115.23451232910156,29.712500645786218,, , , , ,80.66162719726563,44.44566345214844, 66.49768829345703, 71.08087921142578, 105.14959716796875, 116.13430786132812,29.41927800782699,, , , , ,0.8,1.0, 1.0, 0.0, 1.0, 1.0,0.447213595499958,'down', 'down', 'right', 'down', 'down',0.904447364807129,1.635056972503662, 0.5119237899780273, 0.9918115139007568, 0.5089657306671143, 0.8744790554046631,0.46173625391354406,79.7180908203125,42.74483871459961, 65.9638671875, 70.0316162109375, 104.61561584472656, 115.23451232910156,29.712500645786218,, , , , ,7.0, 18.0, 20.0, 37.0, 42.0
red,yellow,0,up,5.0,82.31552734375,37.028953552246094, 50.2796745300293, 87.44956970214844, 108.51725769042969, 128.3022003173828,38.421454900086424,, , , , ,82.84842529296876,37.461341857910156, 50.7628173828125, 87.88286590576172, 109.28398895263672, 128.85110473632812,38.5029372644537,, , , , ,0.2,0.0, 0.0, 0.0, 0.0, 1.0,0.447213595499958,'left', 'right', 'down', 'left', 'up',0.466840934753418,0.35333505272865295, 0.40596550703048706, 0.35700565576553345, 0.6959696412086487, 0.5219287872314453,0.14507569324106664,82.31552734375,37.028953552246094, 50.2796745300293, 87.44956970214844, 108.51725769042969, 128.3022003173828,38.421454900086424,, , , , ,4.0, 10.0, 29.0, 39.0, 48.0
blue,blue,1,right,5.0,80.45850830078125,48.36238098144531, 56.179988861083984, 78.08202362060547, 89.3328857421875, 130.3352508544922,32.37166815774093,, , , , ,80.93197631835938,48.81349563598633, 56.64667510986328, 78.53156280517578, 89.71701049804688, 130.95114135742188,32.427720926349714,, , , , ,0.4,0.0, 0.0, 1.0, 0.0, 1.0,0.5477225575051662,'down', 'down', 'right', 'down', 'right',0.418978214263916,0.3824588656425476, 0.4051900804042816, 0.40305569767951965, 0.3174378573894501, 0.5867485404014587,0.10029285667475521,80.45850830078125,48.36238098144531, 56.179988861083984, 78.08202362060547, 89.3328857421875, 130.3352508544922,32.37166815774093,, , , , ,9.0, 13.0, 24.0, 30.0, 49.0
blue,green,0,down,5.0,78.47164306640624,33.22843551635742, 61.947757720947266, 72.56371307373047, 98.51690673828125, 126.1014175415039,35.44466908206608,, , , , ,78.95821533203124,33.64479446411133, 62.46408462524414, 72.93167114257812, 98.93339538574219, 126.81714630126953,35.535780507432705,, , , , ,0.8,0.0, 1.0, 1.0, 1.0, 1.0,0.44721359549995804,'right', 'down', 'down', 'down', 'down',0.4350982666015625,0.3260725736618042, 0.46919670701026917, 0.3285192847251892, 0.3679000735282898, 0.683802604675293,0.15064679690098803,78.47164306640624,33.22843551635742, 61.947757720947266, 72.56371307373047, 98.51690673828125, 126.1014175415039,35.44466908206608,, , , , ,2.0, 16.0, 21.0, 34.0, 47.0
blue,yellow,0,up,5.0,79.0618408203125,28.778234481811523, 58.11363220214844, 81.89909362792969, 102.38294982910156, 124.13529968261719,37.25187691050441,, , , , ,79.712158203125,29.861190795898438, 58.614097595214844, 82.31684112548828, 103.16572570800781, 124.6029281616211,37.088686085348776,, , , , ,0.2,0.0, 0.0, 0.0, 0.0, 1.0,0.447213595499958,'left', 'right', 'left', 'left', 'up',0.5431344985961915,0.7904984354972839, 0.4205322563648224, 0.35377246141433716, 0.7056902050971985, 0.4451792538166046,0.19241738220655852,79.0618408203125,28.778234481811523, 58.11363220214844, 81.89909362792969, 102.38294982910156, 124.13529968261719,37.25187691050441,, , , , ,0.0, 14.0, 26.0, 36.0, 46.0
green,green,1,down,5.0,76.13150634765626,31.110761642456055, 63.96411895751953, 74.43132781982422, 100.41677856445312, 110.73455047607422,31.483918459811107,, , , , ,76.65877685546874,31.745868682861328, 64.47966766357422, 74.81721496582031, 100.90023040771484, 111.35089874267578,31.464594240134005,, , , , ,0.8,1.0, 1.0, 0.0, 1.0, 1.0,0.447213595499958,'down', 'down', 'left', 'down', 'down',0.487367057800293,0.591876745223999, 0.48322242498397827, 0.3258104920387268, 0.46289825439453125, 0.5730273723602295,0.10603818712835386,76.13150634765626,31.110761642456055, 63.96411895751953, 74.43132781982422, 100.41677856445312, 110.73455047607422,31.483918459811107,, , , , ,1.0, 17.0, 22.0, 35.0, 40.0
green,yellow,0,up,5.0,78.00469360351562,35.06193923950195, 54.21284484863281, 83.79721069335938, 94.84979248046875, 122.1016845703125,34.17596905092619,, , , , ,78.838671875,35.5811767578125, 54.72941970825195, 84.18165588378906, 97.04950714111328, 122.65161895751953,34.395578404486436,, , , , ,0.2,0.0, 0.0, 0.0, 0.0, 1.0,0.447213595499958,'down', 'left', 'down', 'down', 'up',0.7717292785644532,0.4495770037174225, 0.4464031159877777, 0.3156719505786896, 2.1171088218688965, 0.5298854112625122,0.7559996789597745,78.00469360351562,35.06193923950195, 54.21284484863281, 83.79721069335938, 94.84979248046875, 122.1016845703125,34.17596905092619,, , , , ,3.0, 12.0, 27.0, 33.0, 45.0
yellow,yellow,1,up,5.0,77.88493041992187,46.496620178222656, 52.22909164428711, 80.03214263916016, 93.03314971923828, 117.63365936279297,29.400206648674224,, , , , ,78.41507568359376,46.912620544433594, 52.74666976928711, 80.49871063232422, 93.38274383544922, 118.53462219238281,29.534820037334487,, , , , ,0.2,0.0, 0.0, 0.0, 0.0, 1.0,0.447213595499958,'left', 'down', 'down', 'down', 'up',0.4605555534362793,0.34941038489341736, 0.45541948080062866, 0.3478592336177826, 0.2740103304386139, 0.8760783076286316,0.24111116093413196,77.88493041992187,46.496620178222656, 52.22909164428711, 80.03214263916016, 93.03314971923828, 117.63365936279297,29.400206648674224,, , , , ,8.0, 11.0, 25.0, 32.0, 43.0

extraInfo
participant,nnnnn
session,001
date,2020_Jan_15_1830
expName,stroopExperiment
psychopyVersion,3.2.4
frameRate,60.35389143987705
